title,artist,weeks,peak_rank,date
Turn Me Loose,Fabian,13.0,9.0,1959-03-25
Turvy II,Cozy Cole,8.0,36.0,1958-11-26
Tuxedo Junction,Frankie Avalon,2.0,82.0,1960-06-08
Twice As Nice,Clyde McPhatter,2.0,91.0,1959-08-19
Twistin' Bells,Santo & Johnny,3.0,49.0,1960-12-14
Twistin' U.S.A.,Danny & The Juniors,9.0,27.0,1960-09-14
Twixt Twelve And Twenty,Pat Boone,11.0,17.0,1959-06-10
Two Brothers,David Hill,2.0,90.0,1959-04-15
Two Fools,Frankie Avalon,5.0,54.0,1959-09-16
"Two Thousand, Two Hundred, Twenty-Three Miles",Patti Page,2.0,67.0,1960-04-20
Uh! Oh! Part 1,The Nutty Squirrels,6.0,45.0,1959-12-02
Uh! Oh! Part 2,The Nutty Squirrels,12.0,14.0,1959-11-04
Underwater,The Frogmen,8.0,44.0,1961-03-29
Unforgettable,Dinah Washington,13.0,17.0,1959-09-30
Up Town,Roy Orbison,6.0,72.0,1960-01-13
Up Until Now,Johnnie Ray,3.0,81.0,1958-08-27
Utopia,Frank Gari,14.0,27.0,1960-12-14
Vaquero (Cowboy),The Fireballs,1.0,99.0,1960-08-24
Velvet Waters,The Megatrons,9.0,51.0,1959-05-27
Venus,Frankie Avalon,17.0,1.0,1959-02-04
Volare,Bobby Rydell,15.0,4.0,1960-07-13
Volare (Nel Blu Dipinto Di Blu),Dean Martin,13.0,15.0,1958-01-01
"Volare (Nel Blu, Dipinto Di Blu)",The McGuire Sisters,1.0,80.0,1958-08-27
Wabash Blues,The Viscounts,7.0,77.0,1960-11-30
Wait,Jimmy Clanton,3.0,91.0,1960-09-21
Wait A Minute,The Coasters,8.0,37.0,1961-01-25
Wait For Me,The Playmates,8.0,37.0,1960-10-19
Wake Me When It's Over,Andy Williams,8.0,50.0,1960-03-16
"Wake Me, Shake Me",The Coasters,9.0,51.0,1960-06-15
Walk -- Don't Run,The Ventures,18.0,2.0,1960-07-13
Walk Right Back,The Everly Brothers,13.0,7.0,1961-02-01
Walk Slow,Little Willie John,8.0,48.0,1960-11-23
Walkin' To Mother's,Ray Anthony and His Orchestra,1.0,96.0,1959-04-15
Walking Along,The Diamonds,12.0,29.0,1958-10-22
Walking The Floor Over You,Pat Boone,8.0,44.0,1960-05-18
Walking To New Orleans,Fats Domino,14.0,6.0,1960-06-15
Waltzing Matilda,Jimmie Rodgers,8.0,41.0,1960-01-13
Watch Your Step,Bobby Parker,6.0,51.0,1961-06-07
Water Boy,Don Shirley Trio,6.0,58.0,1961-07-12
Waterloo,Stonewall Jackson,16.0,4.0,1959-05-20
Way Down Yonder In New Orleans,Freddie Cannon,15.0,3.0,1959-11-18
We Go Together,Jan & Dean,7.0,53.0,1960-07-27
We Got Love,Bobby Rydell,17.0,6.0,1959-10-07
We Have Love,Jackie Wilson,3.0,76.0,1958-09-17
We Told You Not To Marry,Titus Turner,6.0,83.0,1959-11-18
Week End,The Kingsmen,3.0,84.0,1958-08-27
Welcome Home,Sammy Kaye And His Orchestra,3.0,68.0,1961-03-29
Well I'm Your Man,Johnny Tillotson,3.0,87.0,1958-10-01
"Well-A, Well-A",Shirley & Lee,3.0,84.0,1961-07-19
"Wendy, Wendy",The Four Coins,3.0,72.0,1958-09-17
Werewolf,The Frantics,2.0,83.0,1960-02-24
Western Movies,The Olympics,12.0,8.0,1958-01-01
What A Diff'rence A Day Makes,Dinah Washington,20.0,8.0,1959-05-20
What A Price,Fats Domino,9.0,22.0,1961-01-18
What A Surprise,Johnny Maestro The Voice Of The Crests,9.0,33.0,1961-04-19
What A Sweet Thing That Was,The Shirelles,6.0,77.0,1961-07-12
What About Me,Don Gibson,1.0,100.0,1961-02-08
What About Us,The Coasters,10.0,47.0,1959-12-02
What Am I Gonna Do,Jimmy Clanton,6.0,50.0,1961-01-04
What Am I Living For,Chuck Willis,11.0,25.0,1960-03-23
What Do I Care,Johnny Cash,8.0,52.0,1958-10-15
What Do You Want?,Bobby Vee,2.0,93.0,1960-03-30
What In The World's Come Over You,Jack Scott,16.0,5.0,1960-01-06
What Is Love?,The Playmates,13.0,15.0,1959-07-01
What Little Girl,Frankie Avalon,2.0,79.0,1958-10-08
What Will I Tell My Heart,The Harptones,2.0,96.0,1961-05-03
What Would I Do,Mickey & Sylvia,9.0,46.0,1960-12-28
What Would You Do?,Jim Reeves,2.0,89.0,1961-07-05
What'd I Say,Jerry Lee Lewis And His Pumping Piano,8.0,30.0,1961-03-29
What'd I Say (Part I & II),Ray Charles and his Orchestra,15.0,6.0,1959-07-01
What's Happening,Wade Flemons,2.0,94.0,1960-02-10
Whatcha' Gonna Do,Nat King Cole,2.0,92.0,1960-03-02
Wheel Of Fortune,The Knightsbridge Strings,4.0,83.0,1959-10-28
Wheels,The String-A-Longs,16.0,3.0,1961-01-04
When,Kalin Twins,9.0,5.0,1958-01-01
When I Fall In Love,Etta Jones,8.0,65.0,1961-01-11
When I Grow Too Old To Dream,Ed Townsend,7.0,59.0,1958-09-24
When The Saints Go Marching In,Fats Domino,8.0,50.0,1959-02-11
When We Get Married,The Dreamlovers,4.0,46.0,1961-07-19
When Will I Be Loved,The Everly Brothers,13.0,8.0,1960-05-25
When Will I Know,George Hamilton IV,4.0,65.0,1958-08-20
When You Wish Upon A Star,Dion & The Belmonts,9.0,30.0,1960-04-20
Where,The Platters,9.0,44.0,1959-09-02
Where Are You,Frankie Avalon,12.0,32.0,1960-06-08
Where I Fell In Love,The Capris,4.0,74.0,1961-03-22
Where Or When,Dion & The Belmonts,16.0,3.0,1959-12-23
Where The Blue Of The Night,Tommy Mara,4.0,76.0,1958-08-13
Where The Boys Are,Connie Francis,15.0,4.0,1961-01-11
Where Were You (On Our Wedding Day)?,Lloyd Price,11.0,23.0,1959-02-25
Whip It On Me,Jessie Hill,1.0,91.0,1960-07-20
White Bucks And Saddle Shoes,"Bobby Pedrick, Jr.",4.0,74.0,1958-11-05
White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,6.0,26.0,1960-12-14
White Lightning,George Jones,5.0,73.0,1959-04-29
White Silver Sands,Bill Black's Combo,14.0,9.0,1960-03-02
Who Are They To Say,The DeCastro Sisters,1.0,99.0,1958-08-13
Who Cares,Don Gibson,9.0,43.0,1959-01-14
Who Else But You,Frankie Avalon,2.0,82.0,1961-05-24
"Who Put The Bomp (In The Bomp, Bomp, Bomp)",Barry Mann,3.0,33.0,1961-07-19
Who Shot Sam,George Jones,3.0,93.0,1959-07-22
Who's That Knocking,The Genies,6.0,71.0,1959-03-25
Whole Lot Of Shakin' Going On,Conway Twitty,5.0,55.0,1960-10-26
Whole Lotta Loving,Fats Domino,15.0,6.0,1958-11-12
Whole Lotta Shakin' Goin' On,Chubby Checker,8.0,42.0,1960-10-05
Why,Frankie Avalon,16.0,1.0,1959-11-18
Why Do I Love You So,Johnny Tillotson,14.0,42.0,1960-01-13
Why I'm Walkin',Stonewall Jackson,3.0,83.0,1960-03-23
Wicked Ruby,Danny Zella and his Zell Rocks,5.0,71.0,1959-01-21
"Wiggle, Wiggle",The Accents,12.0,51.0,1958-12-17
Wild In The Country,Elvis Presley With The Jordanaires,5.0,26.0,1961-05-31
Wild One,Bobby Rydell,16.0,2.0,1960-01-27
Will You Love Me Tomorrow,The Shirelles,19.0,1.0,1960-11-16
Willie And The Hand Jive,The Johnny Otis Show,10.0,9.0,1958-01-01
Win Your Love For Me,Sam Cooke,17.0,33.0,1958-01-01
Wings Of A Dove,Ferlin Husky,18.0,12.0,1960-11-23
Wish It Were Me,The Platters,7.0,61.0,1959-09-09
Wishful Thinking,Little Anthony And The Imperials,2.0,79.0,1959-03-18
Wishin' On A Rainbow,Phill Wilson,2.0,91.0,1961-07-05
With All Of My Heart,Brook Benton,1.0,82.0,1959-07-15
With My Eyes Wide Open I'm Dreaming,Patti Page,7.0,59.0,1959-06-10
With Open Arms,Jane Morgan,11.0,39.0,1959-07-22
With The Wind And The Rain In Your Hair,Pat Boone,14.0,21.0,1959-01-07
With Your Love,Jack Scott,10.0,28.0,1958-09-24
Without You,Johnny Tillotson,3.0,44.0,1961-07-19
Wizard Of Love,The Ly - Dells,1.0,99.0,1961-07-19
"Won'cha Come Home, Bill Bailey",Della Reese,1.0,98.0,1961-04-19
Won't Be Long,Aretha Franklin With The Ray Bryant Combo,3.0,76.0,1961-02-22
Won't You Come Home Bill Bailey,Bobby Darin,11.0,19.0,1960-05-18
Wonderful World,Sam Cooke,15.0,12.0,1960-05-04
Wonderful You,Jimmie Rodgers,7.0,40.0,1959-06-10
Wonderland By Night,Bert Kaempfert And His Orchestra,17.0,1.0,1960-11-30
Wont'cha Come Home,Lloyd Price and His Orchestra,10.0,43.0,1959-11-04
Woo-Hoo,Rock-A-Teens,12.0,16.0,1959-09-30
Wooden Heart,Joe Dowell,9.0,2.0,1961-06-21
Words,Pat Boone,1.0,94.0,1960-03-16
Yakety Yak,The Coasters,7.0,7.0,1958-01-01
Yea - Yea (Class Cutter),Dale Hawkins,6.0,52.0,1959-03-11
Years From Now,Jackie Wilson,1.0,91.0,1961-07-19
Yellow Bird,The Mills Brothers,8.0,5.0,1958-12-31
Yes - Sir - ee,Dodie Stevens,3.0,79.0,1959-05-27
Yes I Want You,Ivory Joe Hunter,1.0,94.0,1958-09-03
"Yes Sir, That's My Baby",Ricky Nelson,6.0,34.0,1960-09-07
"Yes, I'm Lonesome Tonight",Thelma Carpenter,6.0,55.0,1960-12-28
Yogi,The Ivy Three,10.0,8.0,1960-08-03
You Always Hurt The One You Love,Clarence Henry,10.0,12.0,1961-05-10
You Are Beautiful,Johnny Mathis,6.0,60.0,1958-12-31
You Are My Sunshine,Johnny And The Hurricanes,1.0,91.0,1960-11-30
You Are The Only One,Ricky Nelson,8.0,25.0,1960-12-21
You Better Know It,Jackie Wilson,10.0,37.0,1959-09-02
You Can Depend On Me,Brenda Lee,12.0,6.0,1961-03-22
You Can Have Her,Roy Hamilton,10.0,12.0,1961-01-25
You Can't Be True Dear,The Mary Kaye Trio,3.0,75.0,1959-04-08
You Can't Get To Heaven On Roller Skates,Betty Johnson,1.0,99.0,1959-01-07
You Can't Sit Down Part 2,Philip Upchurch Combo,5.0,29.0,1961-06-14
You Cheated,The Slades,16.0,15.0,1958-08-20
You Don't Know Girls,Kathy Linden,3.0,92.0,1959-07-22
You Don't Know Me,Lenny Welch,13.0,45.0,1960-02-24
You Don't Know What You've Got (Until You Lose It),Ral Donner,7.0,6.0,1961-07-05
You Don't Want My Love,Andy Williams,7.0,64.0,1960-12-07
You Got That Touch,Sonny James,2.0,94.0,1958-09-17
You Got What It Takes,Marv Johnson,22.0,10.0,1959-10-28
You Made Me Love You,Nat King Cole,9.0,45.0,1959-04-29
You Mean Everything To Me,The Fleetwoods,13.0,17.0,1960-08-03
You Need Hands,Eydie Gorme,2.0,57.0,1958-01-01
You Talk Too Much,Joe Jones,13.0,3.0,1960-09-21
You Went Back On Your Word,Clyde McPhatter,3.0,72.0,1959-10-28
You Were Born To Be Loved,Billy Bland,2.0,94.0,1960-06-22
You Were Mine,Fireflies,16.0,21.0,1959-09-02
You'd Better Come Home,Russell Byrd,5.0,50.0,1961-05-03
You'll Answer To Me,Patti Page,4.0,46.0,1961-06-21
You're A Sweetheart,Little Willie John,4.0,66.0,1958-08-06
You're Gonna Miss Me,Connie Francis,10.0,34.0,1959-08-26
You're Gonna Need Magic,Roy Hamilton,3.0,80.0,1961-04-26
You're Looking Good,Dee Clark,10.0,43.0,1960-08-10
You're Making A Mistake,The Platters,3.0,65.0,1958-01-01
You're My Baby,Sarah Vaughan,2.0,87.0,1960-02-10
You're Sixteen,Johnny Burnette,15.0,8.0,1960-10-26
You're So Fine,The Falcons,20.0,17.0,1959-04-15
You're The Boss,LaVern Baker & Jimmy Ricks,3.0,81.0,1961-02-08
You've Got The Power,James Brown And The Famous Flames,1.0,86.0,1960-06-22
You've Got To Love Her With A Feeling,Freddy King,2.0,93.0,1961-01-04
Young And Warm And Wonderful,Tony Bennett,2.0,59.0,1958-01-01
Young Emotions,Ricky Nelson,13.0,12.0,1960-04-20
Young Ideas,Chico Holiday,6.0,74.0,1959-04-29
Young School Girl,Fats Domino,1.0,92.0,1958-09-17
Your Cheatin' Heart,George Hamilton IV,5.0,72.0,1959-04-22
Your Friends,Dee Clark,9.0,34.0,1961-02-01
Your One And Only Love,Jackie Wilson,6.0,40.0,1961-03-08
Your Other Love,The Flamingos,5.0,54.0,1960-12-14
¿Dònde Està Santa Claus? (Where Is Santa Claus?),Augie Rios,4.0,47.0,1958-12-10
